                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.24439,                 0.2004,                 0.7931,                0.75692,                0.71036,                0.73554,                0.52419,                 1.0651,                0.92323,                0.96616,               0.002971,               0.002971,               0.002971
                     73,                0.24502,                0.19647,                0.79286,                 0.7317,                0.72857,                0.74214,                0.53426,                  1.035,                0.96573,                0.95875,               0.002872,               0.002872,               0.002872
                     74,                0.23592,                0.19638,                0.78771,                0.65293,                0.76882,                0.73695,                0.52532,                 1.0701,                 1.0381,                0.96105,               0.002773,               0.002773,               0.002773
                     75,                0.22315,                0.18972,                0.79125,                0.70642,                0.74067,                 0.7256,                0.52276,                 1.0803,                0.99114,                0.96836,               0.002674,               0.002674,               0.002674
                     76,                0.22618,                0.19095,                0.78822,                0.73793,                0.72782,                 0.7308,                0.53396,                 1.0652,                0.96167,                0.96592,               0.002575,               0.002575,               0.002575
                     77,                0.21724,                0.18633,                0.78968,                0.73049,                0.70587,                0.72826,                0.53402,                 1.0728,                 1.0116,                0.97023,               0.002476,               0.002476,               0.002476
                     78,                0.20579,                0.18061,                0.79034,                0.75166,                0.75006,                0.74338,                0.54194,                 1.0984,                 0.9849,                0.96549,               0.002377,               0.002377,               0.002377
                     79,                0.19849,                0.16974,                0.78601,                0.71184,                0.75582,                0.74297,                0.53976,                 1.0683,                0.99576,                0.96503,               0.002278,               0.002278,               0.002278
                     80,                0.19882,                0.16984,                0.78568,                0.68357,                0.77963,                 0.7406,                0.52076,                 1.0694,                0.95067,                0.96619,               0.002179,               0.002179,               0.002179
                     81,                0.18993,                 0.1677,                0.78504,                0.72293,                0.76055,                0.76117,                0.54209,                 1.1076,                0.92351,                0.97409,                0.00208,                0.00208,                0.00208
                     82,                0.18527,                0.16767,                0.78213,                0.71799,                0.76876,                0.75947,                0.54783,                 1.0998,                0.90459,                0.96422,               0.001981,               0.001981,               0.001981
                     83,                0.17854,                0.16347,                0.78214,                0.71128,                0.78934,                0.76102,                0.54204,                 1.0569,                0.90062,                0.97314,               0.001882,               0.001882,               0.001882
                     84,                0.17449,                0.15918,                 0.7863,                0.66617,                0.80175,                0.75992,                0.54427,                 1.0655,                0.91653,                0.96605,               0.001783,               0.001783,               0.001783
