                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.28419,                0.22699,                0.78975,                0.76531,                0.72312,                0.77441,                0.56267,                 1.0395,                 1.0396,                0.95442,               0.003961,               0.003961,               0.003961
                     63,                0.27902,                  0.228,                0.79017,                0.78291,                0.70145,                0.77923,                 0.5681,                 1.0444,                0.96953,                0.95266,               0.003862,               0.003862,               0.003862
                     64,                0.27068,                0.21865,                 0.7874,                0.82274,                0.68547,                0.78773,                0.59117,                 1.0181,                 1.0015,                0.96021,               0.003763,               0.003763,               0.003763
                     65,                0.26705,                0.21665,                0.79041,                0.72678,                0.71563,                0.77948,                0.56795,                 1.1013,                0.95768,                0.96232,               0.003664,               0.003664,               0.003664
                     66,                0.26031,                0.21486,                0.78904,                0.65947,                0.77022,                0.77309,                0.57024,                  1.065,                 1.0214,                0.96144,               0.003565,               0.003565,               0.003565
                     67,                0.25731,                0.21035,                0.78848,                0.78064,                0.68479,                0.78113,                0.57033,                 1.0161,                 1.0216,                 0.9565,               0.003466,               0.003466,               0.003466
                     68,                0.26394,                0.21126,                0.78747,                0.80596,                0.68588,                0.76919,                0.55434,                 1.0477,                 0.9261,                0.95578,               0.003367,               0.003367,               0.003367
                     69,                0.24305,                0.20148,                0.78724,                0.69615,                0.77371,                0.76751,                0.56276,                 1.0481,                0.99192,                0.95332,               0.003268,               0.003268,               0.003268
                     70,                0.22768,                 0.1977,                0.78904,                0.75822,                0.73388,                0.76156,                0.55835,                  1.107,                0.97964,                0.94887,               0.003169,               0.003169,               0.003169
                     71,                0.22948,                0.20174,                0.78763,                0.67424,                0.79588,                0.75376,                 0.5528,                 1.0518,                0.99937,                0.94844,                0.00307,                0.00307,                0.00307
                     72,                0.22598,                0.19269,                0.79063,                 0.7078,                0.78744,                0.78098,                0.56933,                 1.0201,                0.91654,                 0.9514,               0.002971,               0.002971,               0.002971
                     73,                0.21785,                 0.1888,                0.78835,                0.72031,                  0.743,                0.77256,                0.57171,                 1.0335,                0.95789,                0.95323,               0.002872,               0.002872,               0.002872
