                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.22228,                 0.1866,                0.78788,                0.83498,                0.75664,                0.77389,                0.58353,                 1.0624,                 1.0048,                0.94156,               0.002773,               0.002773,               0.002773
                     75,                0.21133,                0.18513,                0.79025,                 0.7656,                0.78531,                0.76184,                0.57884,                 1.0687,                 1.0102,                0.93609,               0.002674,               0.002674,               0.002674
                     76,                0.21802,                0.18416,                0.78664,                0.76298,                0.80724,                 0.7591,                0.56841,                 1.0866,                 1.0018,                0.94388,               0.002575,               0.002575,               0.002575
                     77,                0.20971,                0.18139,                0.78805,                0.77421,                0.77424,                0.75002,                 0.5697,                 1.1159,                 1.0426,                0.95156,               0.002476,               0.002476,               0.002476
                     78,                0.20006,                0.17892,                0.78972,                0.77074,                0.78455,                0.75285,                0.57093,                 1.0385,                  1.046,                0.94488,               0.002377,               0.002377,               0.002377
                     79,                0.20379,                0.17748,                0.78437,                 0.7729,                 0.7839,                0.76663,                0.56787,                 1.1085,                 1.0726,                0.95385,               0.002278,               0.002278,               0.002278
                     80,                 0.1888,                0.16801,                0.78434,                0.76613,                0.78434,                0.76737,                0.57437,                 1.0561,                 1.0803,                0.94411,               0.002179,               0.002179,               0.002179
                     81,                0.18339,                 0.1685,                0.78331,                0.80311,                0.75156,                0.77722,                0.57707,                 1.0725,                 1.0498,                0.94789,                0.00208,                0.00208,                0.00208
                     82,                0.17872,                0.16169,                0.78174,                 0.7586,                0.76231,                0.76729,                0.57553,                 1.0395,                 1.0679,                0.94761,               0.001981,               0.001981,               0.001981
                     83,                0.17036,                0.16018,                0.78157,                0.76698,                0.80993,                0.78369,                0.58407,                 1.0748,                0.99198,                 0.9468,               0.001882,               0.001882,               0.001882
                     84,                0.17239,                0.15994,                0.78474,                0.77843,                0.80993,                0.78681,                0.58568,                 1.0839,                0.98861,                0.94209,               0.001783,               0.001783,               0.001783
                     85,                0.17172,                0.15659,                0.78461,                0.76886,                0.78502,                0.77135,                0.58111,                 1.0278,                 1.0758,                0.94125,               0.001684,               0.001684,               0.001684
                     86,                0.15455,                0.15108,                0.78248,                0.83314,                0.72916,                0.76402,                0.56755,                 1.0635,                 1.0404,                0.94337,               0.001585,               0.001585,               0.001585
                     87,                0.15314,                0.14926,                0.78038,                0.79386,                0.78612,                 0.7716,                0.57661,                 1.0844,                 1.0485,                0.94631,               0.001486,               0.001486,               0.001486
                     88,                 0.1467,                0.14328,                0.78096,                0.74957,                 0.8061,                0.76776,                0.57488,                 1.0599,                 1.0582,                0.94609,               0.001387,               0.001387,               0.001387
                     89,                0.13943,                0.13741,                0.78029,                 0.7453,                0.78612,                0.76546,                0.56583,                 1.0517,                 1.0747,                0.94247,               0.001288,               0.001288,               0.001288
                     90,                0.13335,                0.13804,                0.77947,                0.80732,                0.78612,                0.76297,                0.57862,                 1.0523,                 1.0886,                 0.9485,               0.001189,               0.001189,               0.001189
                     91,                0.13406,                0.13544,                0.77956,                0.86415,                0.76231,                0.76123,                0.57759,                 1.0479,                 1.1058,                0.95001,                0.00109,                0.00109,                0.00109
                     92,                0.12408,                0.12914,                0.77971,                0.85845,                0.76231,                0.76222,                0.57649,                 1.0437,                  1.117,                0.94592,               0.000991,               0.000991,               0.000991
                     93,                0.11591,                0.12299,                0.77996,                 0.8153,                0.76231,                0.76504,                0.58017,                 1.0583,                 1.1354,                0.94449,               0.000892,               0.000892,               0.000892
                     94,                0.11502,                0.12419,                0.77967,                0.81865,                0.76231,                0.76174,                0.58367,                 1.0427,                 1.1327,                0.94768,               0.000793,               0.000793,               0.000793
                     95,                0.11176,                0.11971,                0.77674,                0.82187,                0.76231,                0.76667,                0.58819,                 1.0468,                 1.1334,                0.94768,               0.000694,               0.000694,               0.000694
                     96,                0.10311,                 0.1156,                0.77696,                0.81486,                0.76231,                0.76263,                0.57921,                 1.0483,                   1.12,                0.94674,               0.000595,               0.000595,               0.000595
                     97,                0.10549,                0.11557,                0.78094,                0.79832,                  0.754,                0.76009,                 0.5828,                 1.0258,                 1.1019,                0.94754,               0.000496,               0.000496,               0.000496
                     98,                0.09989,                0.11281,                0.77731,                0.80679,                0.75957,                0.76183,                0.58102,                 1.0371,                 1.1125,                0.95044,               0.000397,               0.000397,               0.000397
                     99,                0.09409,                 0.1091,                0.78072,                0.80899,                0.76231,                0.76013,                0.57572,                 1.0556,                 1.1198,                0.95094,               0.000298,               0.000298,               0.000298
